nr,foundry,country_code,country,substrate,technologies,wavelength,type,access,schedule,mpw_price_usd,lead_time_weeks,status,technologies_str,schedule_str,tech_category,nre_cost_usd,setup_cost_usd,min_order_qty,capacity_wafers_month,volume_threshold,volume_discount_percent,per_unit_price_usd_per_mm2,market_positioning,payment_terms,ip_licensing,estimated_total_cost_10wafers,estimated_total_cost_100wafers,applications,latitude,longitude
1,AIM Photonics,US,United States,SiPh,['Silicon Photonics'],"O, C",Commercial,Open + PDK,"{'Jan': '15', 'Apr': '15', 'Jul': '15', 'Oct': '15'}",16626,14,,Silicon Photonics,"{""Jan"": ""15"", ""Apr"": ""15"", ""Jul"": ""15"", ""Oct"": ""15""}",SiPh (Silicon Photonics),50100,4354,2,200,100,20,163.92,Cost-effective,50% upfront,Included,170614,1334434,Datacom,43.21347572066396,-76.13191169007888
3,Hyperlight,US,United States,InP,['InP'],"O, C",Commercial,Open + PDK,"{'Feb': '20', 'May': '20', 'Aug': '20', 'Nov': '20'}",31836,16,,InP,"{""Feb"": ""20"", ""May"": ""20"", ""Aug"": ""20"", ""Nov"": ""20""}",InP,52541,10481,2,50,10,10,279.81,Cost-effective,100% upfront,Included,328841,2875721,Datacom,42.19826201961496,-71.17137031387996
5,GlobalFoundries,US,United States,SOI,['Silicon Photonics'],"O, C, Vis",Commercial,Bilateral + PDK,"{'Mar': '25', 'Jun': '25', 'Sep': '25', 'Dec': '25'}",18203,12,,Silicon Photonics,"{""Mar"": ""25"", ""Jun"": ""25"", ""Sep"": ""25"", ""Dec"": ""25""}",SiPh (Silicon Photonics),67878,6204,1,300,50,10,188.05,Standard,50% upfront,Included,188234,1644474,"Datacom, Sensing",42.50576210069319,-73.74445097419358
6,TowerSemi,US,United States,SiN,['Silicon Nitride'],"O, C, Vis",Pilot,Open,{'all': 'On-demand'},15527,22,,Silicon Nitride,"{""all"": ""On-demand""}",SiN (Silicon Nitride),40107,4477,1,100,10,5,182.36,Prototyping,Net 30,Additional $5K-$20K,159747,1479542,"Datacom, Sensing",32.6453105621683,-96.61303911012536
9,Sandia National Lab,US,United States,"InP, GaAs",['Compound Semiconductors'],"O, C, Vis, UV",R&D,Research Partnerships,{'all': 'Flexible'},16573,22,,Compound Semiconductors,"{""all"": ""Flexible""}",InP,28453,3785,1,30,100,20,162.26,Research-focused,Net 30,Additional $5K-$20K,169515,1329625,"Datacom, Sensing, Specialized",35.05772950290212,-106.85425807824376
11,Skywater Tech,US,United States,SOI,['Silicon Photonics'],"O, C",Commercial,Open,"{'Jan': '10', 'Apr': '10', 'Jul': '10', 'Oct': '10'}",19298,18,,Silicon Photonics,"{""Jan"": ""10"", ""Apr"": ""10"", ""Jul"": ""10"", ""Oct"": ""10""}",SiPh (Silicon Photonics),52312,5700,1,200,20,20,213.98,Cost-effective,50% upfront,Negotiable,198680,1549540,Datacom,44.81535812488354,-93.22996355075183
13,Intel Foundry,US,United States,SOI,['Silicon Photonics'],"O, C, Vis",Commercial,Bilateral,"{'Feb': '30', 'May': '30', 'Aug': '30', 'Nov': '30'}",18932,20,,Silicon Photonics,"{""Feb"": ""30"", ""May"": ""30"", ""Aug"": ""30"", ""Nov"": ""30""}",SiPh (Silicon Photonics),56068,4549,1,50,100,10,168.56,Cost-effective,50% upfront,Negotiable,193869,1708429,"Datacom, Sensing",45.56864573597102,-122.84769862546702
14,Applied Nanotools,CA,Canada,InP,['InP'],"O, C",Pilot,Open + PDK,"{'Mar': '12', 'Jun': '12', 'Sep': '12', 'Dec': '12'}",19323,24,,InP,"{""Mar"": ""12"", ""Jun"": ""12"", ""Sep"": ""12"", ""Dec"": ""12""}",InP,36251,5455,1,100,10,15,187.09,Prototyping,Net 60,Included,198685,1647910,Datacom,53.30707851906725,-113.572493588382
16,C2MI,CA,Canada,SiN,['Silicon Nitride'],"O, C, Vis",Pilot,Open + PDK,"{'Apr': '15', 'Jul': '15', 'Oct': '15'}",14659,24,,Silicon Nitride,"{""Apr"": ""15"", ""Jul"": ""15"", ""Oct"": ""15""}",SiN (Silicon Nitride),36123,5644,1,50,50,20,145.44,Research-focused,Net 30,Included,152234,1178364,"Datacom, Sensing",45.31924348057052,-73.75094250959181
19,CPFC,CA,Canada,SiN,['Silicon Nitride'],"O, C",Commercial,Open,{'all': 'Quarterly'},17563,20,,Silicon Nitride,"{""all"": ""Quarterly""}",SiN (Silicon Nitride),62847,5842,2,100,50,15,188.59,Premium,Net 45,Included,181472,1498697,Datacom,45.3271115701973,-73.39530900034757
24,TSMC,TW,Taiwan,SOI,"['Silicon Photonics', 'Silicon Nitride']","O, C, Vis",Commercial,Bilateral + PDK,"{'Jan': '50', 'Apr': '50', 'Jul': '50', 'Oct': '50'}",13963,18,,"Silicon Photonics, Silicon Nitride","{""Jan"": ""50"", ""Apr"": ""50"", ""Jul"": ""50"", ""Oct"": ""50""}",SiPh (Silicon Photonics),46729,4083,1,500,10,5,123.69,Premium,50% upfront,Included,143713,1330568,"Datacom, Sensing",24.16389930897637,120.54686684886765
25,Win Semi,TW,Taiwan,SOI,['Silicon Photonics'],"O, C",Commercial,Bilateral,"{'Feb': '30', 'May': '30', 'Aug': '30', 'Nov': '30'}",14592,12,,Silicon Photonics,"{""Feb"": ""30"", ""May"": ""30"", ""Aug"": ""30"", ""Nov"": ""30""}",SiPh (Silicon Photonics),44731,4315,2,200,50,10,134.57,Premium,Net 60,Negotiable,150235,1317595,Datacom,24.22001911155593,120.79613077101115
29,UMC,TW,Taiwan,"SOI, SiN","['Silicon Photonics', 'Silicon Nitride']","O, C",Commercial,Bilateral + PDK,{'all': 'Quarterly'},14648,12,,"Silicon Photonics, Silicon Nitride","{""all"": ""Quarterly""}",SiPh (Silicon Photonics),36726,4576,1,300,50,5,175.35,Premium,Net 60,Included,151056,1396136,Datacom,23.948118119703228,120.83793914436227
31,AMF (now GF),SG,Singapore,InP,"['InP', 'GaAs']","O, C, Vis",Commercial,Bilateral + PDK,"{'Jan': '25', 'Apr': '25', 'Jul': '25', 'Oct': '25'}",22674,18,,"InP, GaAs","{""Jan"": ""25"", ""Apr"": ""25"", ""Jul"": ""25"", ""Oct"": ""25""}",InP,40874,8526,2,200,100,10,240.33,Premium,50% upfront,Included,235266,2049186,"Datacom, Sensing",1.4268377884687995,103.66279623935996
32,Compoundtek,SG,Singapore,GaAs,['GaAs'],"O, C, Vis, UV",Pilot,Open,"{'Feb': '15', 'May': '15', 'Aug': '15', 'Nov': '15'}",18621,18,,GaAs,"{""Feb"": ""15"", ""May"": ""15"", ""Aug"": ""15"", ""Nov"": ""15""}",Hybrid/Multi-platform,25049,5557,2,20,20,20,172.04,Research-focused,50% upfront,Additional $5K-$20K,191767,1495237,"Datacom, Sensing, Specialized",1.3786534484613215,103.82910594861663
33,IMECAS,CN,China,SOI,['Silicon Photonics'],"O, C",Pilot,Open,{'all': 'On-demand'},8181,22,,Silicon Photonics,"{""all"": ""On-demand""}",SiPh (Silicon Photonics),20074,3052,2,50,100,20,93.09,Development,100% upfront,Additional $5K-$20K,84862,657532,Datacom,40.0792353307901,116.5971664195057
34,SMIC,CN,China,"SOI, SiN","['Silicon Photonics', 'Silicon Nitride']","O, C, Vis",Commercial,Bilateral,"{'Jan': '40', 'Apr': '40', 'Jul': '40', 'Oct': '40'}",9775,14,,"Silicon Photonics, Silicon Nitride","{""Jan"": ""40"", ""Apr"": ""40"", ""Jul"": ""40"", ""Oct"": ""40""}",SiPh (Silicon Photonics),32185,2939,5,50,100,20,111.98,Premium,Net 60,Additional $5K-$20K,100689,784939,"Datacom, Sensing",31.357504874816637,121.45250556494129
35,CUMEC,CN,China,"InP, GaAs",['Compound Semiconductors'],"O, C, Vis",Pilot,Open,"{'Feb': '20', 'May': '20', 'Aug': '20', 'Nov': '20'}",13531,16,,Compound Semiconductors,"{""Feb"": ""20"", ""May"": ""20"", ""Aug"": ""20"", ""Nov"": ""20""}",InP,16814,3093,2,20,50,20,155.01,Research-focused,50% upfront,Negotiable,138403,1085573,"Datacom, Sensing",29.322604220434688,106.32982490988302
2,Aluvia,NL,Netherlands,AlO,[],"UV, O, C",Commercial,Open + PDK,"{'Mar': '30', 'Jun': '30', 'Sep': '30'}",16940,12,,N/A,"{""Mar"": ""30"", ""Jun"": ""30"", ""Sep"": ""30""}",AlN/AlO,46899,4879,1,500,10,15,176.09,Cost-effective,Net 30,Included,174279,1444779,"Datacom, Specialized",52.46394120151825,5.040693271181341
4,AMO (GmbH),DE,Germany,"SiN, SOI, Si.","['Si', 'SiN', 'SOI']","O, C, Vis",Pilot,Open,{'all': 'Only On-demand with flexible schedule'},14569,20,,"Si, SiN, SOI","{""all"": ""Only On-demand with flexible schedule""}",SiPh (Silicon Photonics),28838,4432,1,100,20,10,133.08,Research-focused,Net 45,Included,150122,1315642,"Datacom, Sensing",50.63042022965755,6.570485494640311
7,Ccraft,CH,Switzerland,LNOI,[],C,Commercial,Open + PDK,"{'Feb': '28', 'May': '30', 'Aug': '30'}",27612,18,,N/A,"{""Feb"": ""28"", ""May"": ""30"", ""Aug"": ""30""}",LN (Lithium Niobate),77693,9151,1,50,10,15,274.8,Cost-effective,Net 45,Included,285271,2356171,Datacom,46.78482390383081,6.756983429162765
8,CNM-IMB,ES,Spain,SiN,[],"O, C, Vis",Pilot,Open + PDK,{'all': 'TBA'},14506,20,,N/A,"{""all"": ""TBA""}",SiN (Silicon Nitride),29558,3631,1,100,100,20,143.46,Research-focused,Net 45,Included,148691,1164111,"Datacom, Sensing",41.36872878708243,2.2107136408657126
10,Cornerstone,UK,United Kingdom,"SOI, SiN, GeSi220","['Si340', 'Si340 SiN', 'Ge', 'VisSiN']","O, C, Vis, Ge",R&D,Open + PDK,"{'Jan': '14,14', 'Apr': '15,15', 'Jul': '15,15,15', 'Oct': '14', 'Dec': '9'}",9412,20,,"Si340, Si340 SiN, Ge, VisSiN","{""Jan"": ""14,14"", ""Apr"": ""15,15"", ""Jul"": ""15,15,15"", ""Oct"": ""14"", ""Dec"": ""9""}",SiPh (Silicon Photonics),22338,3642,1,5,100,15,85.83,Research-focused,Net 45,Included,97762,803662,"Datacom, Sensing, Specialized",52.41702445929746,0.3428900219341322
12,CSEM,CH,Switzerland,LTOI,[],C,Pilot,OPEN + PDK?,{'all': 'Two MPWs Planned - Dates not announced'},22807,18,,N/A,"{""all"": ""Two MPWs Planned - Dates not announced""}",LN (Lithium Niobate),38876,5748,1,100,50,5,242.97,Research-focused,100% upfront,Included,233818,2172413,Datacom,47.375698893861504,8.649230663166911
15,HHI,DE,Germany,InP,[],"O, C",Research Center,OPEN + PDK,"{'Feb': '1', 'May': '1', 'Aug': '1', 'Nov': '1'}",27609,18,,N/A,"{""Feb"": ""1"", ""May"": ""1"", ""Aug"": ""1"", ""Nov"": ""1""}",InP,28062,8012,1,50,100,10,322.3,Standard,100% upfront,Included,284102,2492822,Datacom,52.369458690651854,13.358482428645676
17,IHP,DE,Germany,SOI+SiN,[],"O,C",Pilot,OPEN + PDK,{'Dec': '2'},15831,20,,N/A,"{""Dec"": ""2""}",SiPh (Silicon Photonics),27755,5970,2,20,10,15,162.06,Prototyping,Net 30,Included,164280,1351605,Datacom,52.58928474064201,13.284044181987127
18,imec,BE,Belgium,SOI+SiN,"['ISIPP50G', 'PSV+']","O,C",Pilot,OPEN + PDK,"{'Apr': '17', 'Jun': '10', 'Oct': '16'}",14589,18,,"ISIPP50G, PSV+","{""Apr"": ""17"", ""Jun"": ""10"", ""Oct"": ""16""}",SiPh (Silicon Photonics),28016,3916,2,50,50,15,144.54,Research-focused,100% upfront,Included,149806,1243981,Datacom,51.104442921194895,4.6491188049217
20,Leti,FR,France,SOI+SiN,[],"O,C",Pilot,OPEN + PDK,"{'May': 'TBA', 'Jun': 'TBA', 'Jul': 'TBA', 'Aug': 'TBA', 'Sep': 'TBA', 'Oct': 'TBA', 'Nov': 'TBA', 'Dec': 'TBA'}",11567,22,,N/A,"{""May"": ""TBA"", ""Jun"": ""TBA"", ""Jul"": ""TBA"", ""Aug"": ""TBA"", ""Sep"": ""TBA"", ""Oct"": ""TBA"", ""Nov"": ""TBA"", ""Dec"": ""TBA""}",SiPh (Silicon Photonics),38342,3450,1,30,100,20,123.62,Research-focused,Net 60,Included,119120,928810,Datacom,45.433386661243205,5.589455528396908
21,LIGENTEC,CH,Switzerland,SiN,"['AN150', 'AN350', 'AN800', 'LN']","O,C, Vis",Commercial,OPEN + PDK,"{'Jan': '1', 'Feb': '1', 'Mar': '1', 'Apr': '1', 'May': '1', 'Jun': '1', 'Jul': '1', 'Aug': '1', 'Sep': '1', 'Oct': '1', 'Nov': '1', 'Dec': '1'}",29102,16,,"AN150, AN350, AN800, LN","{""Jan"": ""1"", ""Feb"": ""1"", ""Mar"": ""1"", ""Apr"": ""1"", ""May"": ""1"", ""Jun"": ""1"", ""Jul"": ""1"", ""Aug"": ""1"", ""Sep"": ""1"", ""Oct"": ""1"", ""Nov"": ""1"", ""Dec"": ""1""}",LN (Lithium Niobate),59045,10521,1,50,10,20,270.15,Cost-effective,100% upfront,Included,301541,2338681,"Datacom, Sensing",46.8742438840313,7.753259919415055
