nr,foundry,country_code,country,substrate,technologies,wavelength,type,access,schedule,location,technologies_str,schedule_str,tech_category,mpw_price_usd,nre_cost_usd,setup_cost_usd,min_order_qty,lead_time_weeks,capacity_wafers_month,volume_threshold,volume_discount_percent,per_unit_price_usd_per_mm2,market_positioning,payment_terms,ip_licensing,estimated_total_cost_10wafers,estimated_total_cost_100wafers,applications,latitude,longitude
1,AIM Photonics,US,United States,SiPh,['Silicon Photonics'],"O, C",Commercial,Open + PDK,"{'Jan': '15', 'Apr': '15', 'Jul': '15', 'Oct': '15'}","Rochester, NY",Silicon Photonics,"{""Jan"": ""15"", ""Apr"": ""15"", ""Jul"": ""15"", ""Oct"": ""15""}",SiPh (Silicon Photonics),18846,65068,6245,2,20,150,10,5,171.99,Cost-effective,Net 60,Included,194705,1796615,Datacom,43.21347572066396,-76.13191169007888
3,Hyperlight,US,United States,InP,['InP'],"O, C",Commercial,Open + PDK,"{'Feb': '20', 'May': '20', 'Aug': '20', 'Nov': '20'}","Boston, MA",InP,"{""Feb"": ""20"", ""May"": ""20"", ""Aug"": ""20"", ""Nov"": ""20""}",InP/GaAs (Compound Semiconductors),28796,71254,9435,2,20,100,50,10,332.34,Cost-effective,50% upfront,Included,297395,2601075,Datacom,42.19826201961496,-71.17137031387996
5,GlobalFoundries,US,United States,SOI,['Silicon Photonics'],"O, C, Vis",Commercial,Bilateral + PDK,"{'Mar': '25', 'Jun': '25', 'Sep': '25', 'Dec': '25'}","Malta, NY",Silicon Photonics,"{""Mar"": ""25"", ""Jun"": ""25"", ""Sep"": ""25"", ""Dec"": ""25""}",SiPh (Silicon Photonics),19809,68061,4292,1,12,50,50,20,167.35,Premium,Net 45,Included,202382,1589012,"Datacom, Sensing",42.50576210069319,-73.74445097419358
6,TowerSemi,US,United States,SiN,['Silicon Nitride'],"O, C, Vis",Pilot,Open,{'all': 'On-demand'},"Dallas, TX",Silicon Nitride,"{""all"": ""On-demand""}",SiN (Silicon Nitride),16412,31836,5736,2,18,30,20,15,154.04,Development,50% upfront,Included,169856,1400756,"Datacom, Sensing",32.6453105621683,-96.61303911012536
9,Sandia National Lab,US,United States,"InP, GaAs",['Compound Semiconductors'],"O, C, Vis, UV",R&D,Research Partnerships,{'all': 'Flexible'},"Albuquerque, NM",Compound Semiconductors,"{""all"": ""Flexible""}",InP/GaAs (Compound Semiconductors),13703,23119,4016,1,22,30,50,15,157.57,Research-focused,100% upfront,Additional $5K-$20K,141046,1168771,"Datacom, Sensing, Specialized",35.05772950290212,-106.85425807824376
11,Skywater Tech,US,United States,SOI,['Silicon Photonics'],"O, C",Commercial,Open,"{'Jan': '10', 'Apr': '10', 'Jul': '10', 'Oct': '10'}","Bloomington, MN",Silicon Photonics,"{""Jan"": ""10"", ""Apr"": ""10"", ""Jul"": ""10"", ""Oct"": ""10""}",SiPh (Silicon Photonics),19225,55531,5801,1,14,500,10,5,168.83,Premium,Net 45,Negotiable,198051,1832176,Datacom,44.81535812488354,-93.22996355075183
13,Intel Foundry,US,United States,SOI,['Silicon Photonics'],"O, C, Vis",Commercial,Bilateral,"{'Feb': '30', 'May': '30', 'Aug': '30', 'Nov': '30'}","Hillsboro, OR",Silicon Photonics,"{""Feb"": ""30"", ""May"": ""30"", ""Aug"": ""30"", ""Nov"": ""30""}",SiPh (Silicon Photonics),18977,48886,4959,2,18,150,20,15,222.04,Premium,50% upfront,Included,194729,1618004,"Datacom, Sensing",45.56864573597102,-122.84769862546702
14,Applied Nanotools,CA,Canada,InP,['InP'],"O, C",Pilot,Open + PDK,"{'Mar': '12', 'Jun': '12', 'Sep': '12', 'Dec': '12'}","Edmonton, AB",InP,"{""Mar"": ""12"", ""Jun"": ""12"", ""Sep"": ""12"", ""Dec"": ""12""}",InP/GaAs (Compound Semiconductors),18043,36596,6827,1,18,20,20,10,212.86,Development,Net 30,Included,187257,1630697,Datacom,53.30707851906725,-113.572493588382
16,C2MI,CA,Canada,SiN,['Silicon Nitride'],"O, C, Vis",Pilot,Open + PDK,"{'Apr': '15', 'Jul': '15', 'Oct': '15'}","Montreal, QC",Silicon Nitride,"{""Apr"": ""15"", ""Jul"": ""15"", ""Oct"": ""15""}",SiN (Silicon Nitride),15551,30382,5645,2,20,30,10,15,160.84,Development,100% upfront,Included,161155,1327480,"Datacom, Sensing",45.31924348057052,-73.75094250959181
19,CPFC,CA,Canada,SiN,['Silicon Nitride'],"O, C",Commercial,Open,{'all': 'Quarterly'},"Montreal, QC",Silicon Nitride,"{""all"": ""Quarterly""}",SiN (Silicon Nitride),22529,61403,5245,2,14,500,20,15,238.14,Standard,Net 45,Additional $5K-$20K,230535,1920210,Datacom,45.3271115701973,-73.39530900034757
24,TSMC,TW,Taiwan,SOI,"['Silicon Photonics', 'Silicon Nitride']","O, C, Vis",Commercial,Bilateral + PDK,"{'Jan': '50', 'Apr': '50', 'Jul': '50', 'Oct': '50'}",Hsinchu,"Silicon Photonics, Silicon Nitride","{""Jan"": ""50"", ""Apr"": ""50"", ""Jul"": ""50"", ""Oct"": ""50""}",SiPh (Silicon Photonics),11872,53156,3699,1,14,100,50,10,101.47,Standard,50% upfront,Included,122419,1072179,"Datacom, Sensing",24.16389930897637,120.54686684886765
25,Win Semi,TW,Taiwan,SOI,['Silicon Photonics'],"O, C",Commercial,Bilateral,"{'Feb': '30', 'May': '30', 'Aug': '30', 'Nov': '30'}",Hsinchu area,Silicon Photonics,"{""Feb"": ""30"", ""May"": ""30"", ""Aug"": ""30"", ""Nov"": ""30""}",SiPh (Silicon Photonics),11811,50787,4299,1,14,150,10,5,112.92,Premium,Net 30,Included,122409,1126344,Datacom,24.22001911155593,120.79613077101115
29,UMC,TW,Taiwan,"SOI, SiN","['Silicon Photonics', 'Silicon Nitride']","O, C",Commercial,Bilateral + PDK,{'all': 'Quarterly'},Hsinchu,"Silicon Photonics, Silicon Nitride","{""all"": ""Quarterly""}",SiPh (Silicon Photonics),11938,41267,3677,5,12,300,50,20,135.55,Standard,50% upfront,Included,123057,958717,Datacom,23.948118119703228,120.83793914436227
31,AMF (now GF),SG,Singapore,InP,"['InP', 'GaAs']","O, C, Vis",Commercial,Bilateral + PDK,"{'Jan': '25', 'Apr': '25', 'Jul': '25', 'Oct': '25'}",Singapore,"InP, GaAs","{""Jan"": ""25"", ""Apr"": ""25"", ""Jul"": ""25"", ""Oct"": ""25""}",InP/GaAs (Compound Semiconductors),23172,51021,5106,1,12,100,20,10,241.13,Cost-effective,Net 45,Included,236826,2090586,"Datacom, Sensing",1.4268377884687995,103.66279623935996
32,Compoundtek,SG,Singapore,GaAs,['GaAs'],"O, C, Vis, UV",Pilot,Open,"{'Feb': '15', 'May': '15', 'Aug': '15', 'Nov': '15'}",Singapore,GaAs,"{""Feb"": ""15"", ""May"": ""15"", ""Aug"": ""15"", ""Nov"": ""15""}",InP/GaAs (Compound Semiconductors),18111,29532,6680,1,22,100,10,10,178.25,Prototyping,Net 60,Included,187790,1636670,"Datacom, Sensing, Specialized",1.1276534484613214,103.82910594861663
33,IMECAS,CN,China,SOI,['Silicon Photonics'],"O, C",Pilot,Open,{'all': 'On-demand'},Beijing,Silicon Photonics,"{""all"": ""On-demand""}",SiPh (Silicon Photonics),8009,19620,1765,1,18,50,50,5,70.19,Prototyping,100% upfront,Additional $5K-$20K,81855,762620,Datacom,40.0792353307901,116.5971664195057
34,SMIC,CN,China,"SOI, SiN","['Silicon Photonics', 'Silicon Nitride']","O, C, Vis",Commercial,Bilateral,"{'Jan': '40', 'Apr': '40', 'Jul': '40', 'Oct': '40'}",Shanghai,"Silicon Photonics, Silicon Nitride","{""Jan"": ""40"", ""Apr"": ""40"", ""Jul"": ""40"", ""Oct"": ""40""}",SiPh (Silicon Photonics),9795,40465,2911,2,12,150,10,20,107.68,Cost-effective,Net 45,Included,100861,786511,"Datacom, Sensing",31.357504874816637,121.45250556494129
35,CUMEC,CN,China,"InP, GaAs",['Compound Semiconductors'],"O, C, Vis",Pilot,Open,"{'Feb': '20', 'May': '20', 'Aug': '20', 'Nov': '20'}",Chongqing,Compound Semiconductors,"{""Feb"": ""20"", ""May"": ""20"", ""Aug"": ""20"", ""Nov"": ""20""}",InP/GaAs (Compound Semiconductors),13272,19796,5086,1,20,20,20,10,119.57,Research-focused,Net 60,Negotiable,137806,1199566,"Datacom, Sensing",29.322604220434688,106.32982490988302
